type, threadCount, insertCount, time
ConcurrentList,48,300000,2.10699
ConcurrentHashTable,48,300000,0.163871
ConcurrentQueue,48,310000,2.91907
LockCoupling,48,310000,4.33773
ConcurrentList,48,310000,2.16443
ConcurrentHashTable,48,310000,0.171523
ConcurrentQueue,48,320000,3.01292
LockCoupling,48,320000,4.57134
ConcurrentList,48,320000,2.25855
ConcurrentHashTable,48,320000,0.176009
ConcurrentQueue,48,330000,3.11247
LockCoupling,48,330000,4.75837
ConcurrentList,48,330000,2.31193
ConcurrentHashTable,48,330000,0.182109
ConcurrentQueue,48,340000,3.21015
LockCoupling,48,340000,4.82645
ConcurrentList,48,340000,2.40774
ConcurrentHashTable,48,340000,0.190221
ConcurrentQueue,48,350000,3.29197
LockCoupling,48,350000,4.91464
ConcurrentList,48,350000,2.48623
ConcurrentHashTable,48,350000,0.190961
ConcurrentQueue,48,360000,3.40757
LockCoupling,48,360000,5.12691
ConcurrentList,48,360000,2.54393
ConcurrentHashTable,48,360000,0.197519
ConcurrentQueue,48,370000,3.48101
LockCoupling,48,370000,5.2979
ConcurrentList,48,370000,2.61945
ConcurrentHashTable,48,370000,0.202892
ConcurrentQueue,48,380000,3.58495
LockCoupling,48,380000,5.46748
ConcurrentList,48,380000,2.6828
ConcurrentHashTable,48,380000,0.208869
ConcurrentQueue,48,390000,3.69318
LockCoupling,48,390000,5.64162
ConcurrentList,48,390000,2.74378
ConcurrentHashTable,48,390000,0.21332
ConcurrentQueue,48,400000,3.77728
LockCoupling,48,400000,5.74164
ConcurrentList,48,400000,2.85225
ConcurrentHashTable,48,400000,0.218352
ConcurrentQueue,48,410000,3.86408
LockCoupling,48,410000,5.79421
ConcurrentList,48,410000,2.90935
ConcurrentHashTable,48,410000,0.224545
ConcurrentQueue,48,420000,3.96058
LockCoupling,48,420000,6.00747
ConcurrentList,48,420000,3.00403
ConcurrentHashTable,48,420000,0.229942
ConcurrentQueue,48,430000,4.05289
LockCoupling,48,430000,6.18813
ConcurrentList,48,430000,3.05569
ConcurrentHashTable,48,430000,0.234626
ConcurrentQueue,48,440000,4.15301
LockCoupling,48,440000,6.28371
ConcurrentList,48,440000,3.13533
ConcurrentHashTable,48,440000,0.243972
ConcurrentQueue,48,450000,4.29084
LockCoupling,48,450000,6.48168
ConcurrentList,48,450000,3.21539
ConcurrentHashTable,48,450000,0.248365
ConcurrentQueue,48,460000,4.38627
LockCoupling,48,460000,6.69304
ConcurrentList,48,460000,3.31192
