type, threadCount, insertCount, time, threshold
ApproximateCounter,48,48000000,7.08852,1
ApproximateCounter,24,24000000,3.63397,1
ApproximateCounter,12,12000000,1.87412,1
ApproximateCounter,6,6000000,0.775234,1
ApproximateCounter,48,48000000,4.42113,2
ApproximateCounter,24,24000000,2.32152,2
ApproximateCounter,12,12000000,1.23003,2
ApproximateCounter,6,6000000,0.538802,2
ApproximateCounter,48,48000000,2.81978,4
ApproximateCounter,24,24000000,1.5257,4
ApproximateCounter,12,12000000,0.804771,4
ApproximateCounter,6,6000000,0.400212,4
ApproximateCounter,48,48000000,1.75714,8
ApproximateCounter,24,24000000,0.985541,8
ApproximateCounter,12,12000000,0.555728,8
ApproximateCounter,6,6000000,0.33886,8
ApproximateCounter,48,48000000,1.20217,16
ApproximateCounter,24,24000000,0.714439,16
ApproximateCounter,12,12000000,0.450061,16
ApproximateCounter,6,6000000,0.328169,16
ApproximateCounter,48,48000000,1.05534,32
ApproximateCounter,24,24000000,0.645969,32
ApproximateCounter,12,12000000,0.412969,32
ApproximateCounter,6,6000000,0.326135,32
ApproximateCounter,48,48000000,0.982274,64
ApproximateCounter,24,24000000,0.621005,64
ApproximateCounter,12,12000000,0.397344,64
ApproximateCounter,6,6000000,0.302283,64
ApproximateCounter,48,48000000,0.941415,128
ApproximateCounter,24,24000000,0.57543,128
ApproximateCounter,12,12000000,0.411884,128
ApproximateCounter,6,6000000,0.32451,128
ApproximateCounter,48,48000000,0.943298,256
ApproximateCounter,24,24000000,0.595636,256
ApproximateCounter,12,12000000,0.433968,256
ApproximateCounter,6,6000000,0.329033,256
ApproximateCounter,48,48000000,0.891825,512
ApproximateCounter,24,24000000,0.602948,512
ApproximateCounter,12,12000000,0.425664,512
ApproximateCounter,6,6000000,0.315501,512
ApproximateCounter,48,48000000,0.888208,1024
ApproximateCounter,24,24000000,0.60355,1024
ApproximateCounter,12,12000000,0.423103,1024
ApproximateCounter,6,6000000,0.324759,1024
ApproximateCounter,48,48000000,0.880192,2048
ApproximateCounter,24,24000000,0.579536,2048
ApproximateCounter,12,12000000,0.424221,2048
ApproximateCounter,6,6000000,0.305993,2048
ApproximateCounter,48,48000000,0.830991,4096
ApproximateCounter,24,24000000,0.581877,4096
ApproximateCounter,12,12000000,0.431907,4096
ApproximateCounter,6,6000000,0.317643,4096
ApproximateCounter,48,48000000,0.885062,8192
ApproximateCounter,24,24000000,0.601637,8192
ApproximateCounter,12,12000000,0.43307,8192
ApproximateCounter,6,6000000,0.321217,8192
ApproximateCounter,48,48000000,0.869803,16384
ApproximateCounter,24,24000000,0.605154,16384
ApproximateCounter,12,12000000,0.41974,16384
ApproximateCounter,6,6000000,0.305495,16384
ApproximateCounter,48,48000000,0.845366,32768
ApproximateCounter,24,24000000,0.616272,32768
ApproximateCounter,12,12000000,0.430656,32768
ApproximateCounter,6,6000000,0.334359,32768
ApproximateCounter,48,48000000,0.829833,65536
ApproximateCounter,24,24000000,0.562675,65536
ApproximateCounter,12,12000000,0.429093,65536
ApproximateCounter,6,6000000,0.315253,65536
ApproximateCounter,48,48000000,0.834538,131072
ApproximateCounter,24,24000000,0.576437,131072
ApproximateCounter,12,12000000,0.431933,131072
ApproximateCounter,6,6000000,0.32237,131072
ApproximateCounter,48,48000000,0.835512,262144
ApproximateCounter,24,24000000,0.631565,262144
ApproximateCounter,12,12000000,0.422474,262144
ApproximateCounter,6,6000000,0.319241,262144
ApproximateCounter,48,48000000,0.836791,524288
ApproximateCounter,24,24000000,0.590946,524288
ApproximateCounter,12,12000000,0.396278,524288
ApproximateCounter,6,6000000,0.325187,524288
ApproximateCounter,48,48000000,0.876906,1048576
ApproximateCounter,24,24000000,0.616669,1048576
ApproximateCounter,12,12000000,0.419365,1048576
ApproximateCounter,6,6000000,0.315089,1048576
ApproximateCounter,48,48000000,0.846421,2097152
ApproximateCounter,24,24000000,0.5948,2097152
