type,threadCount,insertCount,time,treshold
ConcurrentQueue,48,21000000,3.66031,0
ConcurrentQueue,48,22000000,3.86717,0
ConcurrentQueue,48,23000000,4.07936,0
ConcurrentQueue,48,24000000,4.25553,0
ConcurrentQueue,48,25000000,4.42375,0
ConcurrentQueue,48,26000000,4.59548,0
ConcurrentQueue,48,27000000,4.72199,0
ConcurrentQueue,48,28000000,4.90448,0
ConcurrentQueue,48,29000000,5.11909,0
ConcurrentQueue,48,30000000,5.30059,0
ConcurrentQueue,48,31000000,5.48193,0
ConcurrentQueue,48,32000000,5.64722,0
ConcurrentQueue,48,33000000,5.76255,0
ConcurrentQueue,48,34000000,5.97428,0
ConcurrentQueue,48,35000000,6.17608,0
ConcurrentQueue,48,36000000,6.37294,0
ConcurrentQueue,48,37000000,6.52589,0
ConcurrentQueue,48,38000000,6.7101,0
ConcurrentQueue,48,39000000,6.77163,0
ConcurrentQueue,48,40000000,7.0232,0
ConcurrentQueue,48,41000000,7.22984,0
ConcurrentQueue,48,42000000,7.3894,0
ConcurrentQueue,48,43000000,7.58294,0
ConcurrentQueue,48,44000000,7.74014,0
ConcurrentQueue,48,45000000,7.82403,0
ConcurrentQueue,48,46000000,8.06422,0
ConcurrentQueue,48,47000000,8.2954,0
ConcurrentQueue,48,48000000,8.48765,0
ConcurrentHashTable,48,1000000,0.0130832,0
ConcurrentHashTable,48,2000000,0.0282719,0
ConcurrentHashTable,48,3000000,0.0438631,0
ConcurrentHashTable,48,4000000,0.064115,0
ConcurrentHashTable,48,5000000,0.0784721,0
ConcurrentHashTable,48,6000000,0.095777,0
ConcurrentHashTable,48,7000000,0.112025,0
ConcurrentHashTable,48,8000000,0.127645,0
ConcurrentHashTable,48,9000000,0.144546,0
ConcurrentHashTable,48,10000000,0.171782,0
ConcurrentHashTable,48,11000000,0.179516,0
ConcurrentHashTable,48,12000000,0.193933,0
ConcurrentHashTable,48,13000000,0.211805,0
ConcurrentHashTable,48,14000000,0.232739,0
ConcurrentHashTable,48,15000000,0.246682,0
ConcurrentHashTable,48,16000000,0.25904,0
ConcurrentHashTable,48,17000000,0.286589,0
ConcurrentHashTable,48,18000000,0.294786,0
ConcurrentHashTable,48,19000000,0.321363,0
ConcurrentHashTable,48,20000000,0.344485,0
ConcurrentHashTable,48,21000000,0.363887,0
ConcurrentHashTable,48,22000000,0.372666,0
ConcurrentHashTable,48,23000000,0.382109,0
ConcurrentHashTable,48,24000000,0.413155,0
ConcurrentHashTable,48,25000000,0.426311,0
ConcurrentHashTable,48,26000000,0.451109,0
ConcurrentHashTable,48,27000000,0.473956,0
ConcurrentHashTable,48,28000000,0.466159,0
ConcurrentHashTable,48,29000000,0.490192,0
ConcurrentHashTable,48,30000000,0.496884,0
ConcurrentHashTable,48,31000000,0.513926,0
ConcurrentHashTable,48,32000000,0.525848,0
ConcurrentHashTable,48,33000000,0.557119,0
ConcurrentHashTable,48,34000000,0.56543,0
ConcurrentHashTable,48,35000000,0.582365,0
ConcurrentHashTable,48,36000000,0.602191,0
ConcurrentHashTable,48,37000000,0.613039,0
ConcurrentHashTable,48,38000000,0.634794,0
ConcurrentHashTable,48,39000000,0.655852,0
ConcurrentHashTable,48,40000000,0.680583,0
ConcurrentHashTable,48,41000000,0.696341,0
ConcurrentHashTable,48,42000000,0.706832,0
ConcurrentHashTable,48,43000000,0.732981,0
ConcurrentHashTable,48,44000000,0.742084,0
ConcurrentHashTable,48,45000000,0.764555,0
ConcurrentHashTable,48,46000000,0.793829,0
ConcurrentHashTable,48,47000000,0.785046,0
ConcurrentHashTable,48,48000000,0.799208,0
LockCoupling,48,1000000,1.59685,0
LockCoupling,48,2000000,0.300035,0
LockCoupling,48,3000000,0.462554,0
LockCoupling,48,4000000,0.603552,0
LockCoupling,48,5000000,0.756523,0
LockCoupling,48,6000000,0.893527,0
LockCoupling,48,7000000,1.0095,0
LockCoupling,48,8000000,1.15055,0
LockCoupling,48,9000000,1.2966,0
LockCoupling,48,10000000,1.43544,0
LockCoupling,48,11000000,1.57706,0
LockCoupling,48,12000000,1.70705,0
LockCoupling,48,13000000,1.84777,0
LockCoupling,48,14000000,1.99729,0
LockCoupling,48,15000000,2.13443,0
LockCoupling,48,16000000,2.27221,0
LockCoupling,48,17000000,2.41551,0
LockCoupling,48,18000000,2.56429,0
LockCoupling,48,19000000,2.69965,0
LockCoupling,48,20000000,2.82835,0
LockCoupling,48,21000000,2.98481,0
LockCoupling,48,22000000,3.11211,0
LockCoupling,48,23000000,3.27071,0
LockCoupling,48,24000000,3.4092,0
LockCoupling,48,25000000,3.56917,0
LockCoupling,48,26000000,3.69636,0
LockCoupling,48,27000000,3.83624,0
LockCoupling,48,28000000,3.98408,0
LockCoupling,48,29000000,4.13855,0
LockCoupling,48,30000000,4.26513,0
LockCoupling,48,31000000,4.42009,0
LockCoupling,48,32000000,4.55285,0
LockCoupling,48,33000000,4.70741,0
LockCoupling,48,34000000,4.82077,0
LockCoupling,48,35000000,4.9724,0
LockCoupling,48,36000000,5.10637,0
LockCoupling,48,37000000,5.26872,0
LockCoupling,48,38000000,5.38027,0
LockCoupling,48,39000000,5.54289,0
LockCoupling,48,40000000,5.65578,0
LockCoupling,48,41000000,5.81016,0
LockCoupling,48,42000000,5.94062,0
LockCoupling,48,43000000,6.17435,0
LockCoupling,48,44000000,6.23176,0
LockCoupling,48,45000000,6.42052,0
LockCoupling,48,46000000,6.47802,0
LockCoupling,48,47000000,6.73214,0
LockCoupling,48,48000000,6.77472,0
LockCounter,1,1000000,0.0213521,0
LockCounter,2,2000000,0.0857022,0
LockCounter,3,3000000,0.137382,0
LockCounter,4,4000000,0.2247,0
LockCounter,5,5000000,0.32148,0
LockCounter,6,6000000,0.42395,0
LockCounter,7,7000000,0.553131,0
LockCounter,8,8000000,0.714468,0
LockCounter,9,9000000,0.826287,0
LockCounter,10,10000000,0.919665,0
LockCounter,11,11000000,0.990913,0
LockCounter,12,12000000,1.07618,0
LockCounter,13,13000000,1.17468,0
LockCounter,14,14000000,1.2597,0
LockCounter,15,15000000,1.34785,0
LockCounter,16,16000000,1.43915,0
LockCounter,17,17000000,1.52188,0
LockCounter,18,18000000,1.60986,0
LockCounter,19,19000000,1.69226,0
LockCounter,20,20000000,1.78413,0
LockCounter,21,21000000,1.86925,0
LockCounter,22,22000000,1.9549,0
LockCounter,23,23000000,2.03701,0
LockCounter,24,24000000,2.12107,0
LockCounter,25,25000000,2.21934,0
LockCounter,26,26000000,2.30389,0
LockCounter,27,27000000,2.39454,0
LockCounter,28,28000000,2.47338,0
LockCounter,29,29000000,2.56351,0
LockCounter,30,30000000,2.65436,0
LockCounter,31,31000000,2.74281,0
LockCounter,32,32000000,2.82904,0
LockCounter,33,33000000,2.92042,0
LockCounter,34,34000000,3.00141,0
LockCounter,35,35000000,3.09832,0
LockCounter,36,36000000,3.18929,0
LockCounter,37,37000000,3.27134,0
LockCounter,38,38000000,3.36411,0
LockCounter,39,39000000,3.45586,0
LockCounter,40,40000000,3.53857,0
