type, threadCount, insertCount, time, threshold
LockCounter,1,1000000,0.0207999,0
LockCounter,2,2000000,0.12326,0
LockCounter,3,3000000,0.167512,0
LockCounter,4,4000000,0.23917,0
LockCounter,5,5000000,0.329713,0
LockCounter,6,6000000,0.449771,0
LockCounter,7,7000000,0.5762,0
LockCounter,8,8000000,0.716301,0
LockCounter,9,9000000,0.827009,0
LockCounter,10,10000000,0.934303,0
LockCounter,11,11000000,1.0203,0
LockCounter,12,12000000,1.10228,0
LockCounter,13,13000000,1.19193,0
LockCounter,14,14000000,1.28109,0
LockCounter,15,15000000,1.37098,0
LockCounter,16,16000000,1.46285,0
LockCounter,17,17000000,1.54888,0
LockCounter,18,18000000,1.63415,0
LockCounter,19,19000000,1.7221,0
LockCounter,20,20000000,1.81224,0
LockCounter,21,21000000,1.89839,0
LockCounter,22,22000000,1.98708,0
LockCounter,23,23000000,2.07039,0
LockCounter,24,24000000,2.15801,0
LockCounter,25,25000000,2.24284,0
LockCounter,26,26000000,2.33846,0
LockCounter,27,27000000,2.42278,0
LockCounter,28,28000000,2.51362,0
LockCounter,29,29000000,2.60466,0
LockCounter,30,30000000,2.69497,0
LockCounter,31,31000000,2.78579,0
LockCounter,32,32000000,2.87348,0
LockCounter,33,33000000,2.96523,0
LockCounter,34,34000000,3.05629,0
LockCounter,35,35000000,3.14624,0
LockCounter,36,36000000,3.2359,0
LockCounter,37,37000000,3.3219,0
LockCounter,38,38000000,3.41071,0
LockCounter,39,39000000,3.5115,0
LockCounter,40,40000000,3.59191,0
LockCounter,41,41000000,3.67919,0
LockCounter,42,42000000,3.77427,0
LockCounter,43,43000000,3.86839,0
LockCounter,44,44000000,3.95408,0
LockCounter,45,45000000,4.04013,0
LockCounter,46,46000000,4.13267,0
LockCounter,47,47000000,4.22659,0
ApproximateCounter,48,48000000,7.14774,1
ApproximateCounter,24,24000000,3.59962,1
ApproximateCounter,12,12000000,1.8949,1
ApproximateCounter,6,6000000,0.779934,1
ApproximateCounter,48,48000000,4.52773,2
ApproximateCounter,24,24000000,2.37277,2
ApproximateCounter,12,12000000,1.29201,2
ApproximateCounter,6,6000000,0.5493,2
ApproximateCounter,48,48000000,2.95393,4
ApproximateCounter,24,24000000,1.62673,4
ApproximateCounter,12,12000000,0.891348,4
ApproximateCounter,6,6000000,0.41854,4
ApproximateCounter,48,48000000,1.89757,8
ApproximateCounter,24,24000000,1.11925,8
ApproximateCounter,12,12000000,0.625788,8
ApproximateCounter,6,6000000,0.384494,8
ApproximateCounter,48,48000000,1.32359,16
ApproximateCounter,24,24000000,0.813001,16
ApproximateCounter,12,12000000,0.458567,16
ApproximateCounter,6,6000000,0.321452,16
ApproximateCounter,48,48000000,1.12615,32
ApproximateCounter,24,24000000,0.677275,32
ApproximateCounter,12,12000000,0.414416,32
ApproximateCounter,6,6000000,0.305153,32
ApproximateCounter,48,48000000,1.05718,64
ApproximateCounter,24,24000000,0.642148,64
ApproximateCounter,12,12000000,0.39415,64
ApproximateCounter,6,6000000,0.30847,64
ApproximateCounter,48,48000000,0.972412,128
ApproximateCounter,24,24000000,0.638236,128
ApproximateCounter,12,12000000,0.403654,128
ApproximateCounter,6,6000000,0.288991,128
ApproximateCounter,48,48000000,0.997994,256
ApproximateCounter,24,24000000,0.577622,256
ApproximateCounter,12,12000000,0.398772,256
ApproximateCounter,6,6000000,0.306359,256
ApproximateCounter,48,48000000,0.999927,512
