type, threadCount, insertCount, time, threshold
ApproximateCounter,28,28000000,0.655481,1024
LockCounter,29,29000000,2.58269,0
ApproximateCounter,29,29000000,0.633024,1024
LockCounter,30,30000000,2.67274,0
ApproximateCounter,30,30000000,0.659539,1024
LockCounter,31,31000000,2.76579,0
ApproximateCounter,31,31000000,0.691703,1024
LockCounter,32,32000000,2.85781,0
ApproximateCounter,32,32000000,0.685206,1024
LockCounter,33,33000000,2.94099,0
ApproximateCounter,33,33000000,0.66296,1024
LockCounter,34,34000000,3.04221,0
ApproximateCounter,34,34000000,0.708295,1024
LockCounter,35,35000000,3.13037,0
ApproximateCounter,35,35000000,0.701627,1024
LockCounter,36,36000000,3.20891,0
ApproximateCounter,36,36000000,0.720323,1024
LockCounter,37,37000000,3.29808,0
ApproximateCounter,37,37000000,0.741106,1024
LockCounter,38,38000000,3.38611,0
ApproximateCounter,38,38000000,0.767632,1024
LockCounter,39,39000000,3.4804,0
ApproximateCounter,39,39000000,0.749994,1024
LockCounter,40,40000000,3.57164,0
ApproximateCounter,40,40000000,0.758181,1024
LockCounter,41,41000000,3.65724,0
ApproximateCounter,41,41000000,0.771279,1024
LockCounter,42,42000000,3.74818,0
ApproximateCounter,42,42000000,0.766661,1024
LockCounter,43,43000000,3.83894,0
ApproximateCounter,43,43000000,0.763084,1024
LockCounter,44,44000000,3.92598,0
ApproximateCounter,44,44000000,0.761576,1024
LockCounter,45,45000000,4.01987,0
ApproximateCounter,45,45000000,0.779937,1024
LockCounter,46,46000000,4.10729,0
ApproximateCounter,46,46000000,0.778544,1024
LockCounter,47,47000000,4.19768,0
ApproximateCounter,47,47000000,0.770776,1024
LockCounter,48,48000000,4.28365,0
ApproximateCounter,48,48000000,0.866927,1024
LockCounter,1,1000000,0.0206809,0
ApproximateCounter,1,1000000,0.023674,1024
LockCounter,2,2000000,0.117446,0
ApproximateCounter,2,2000000,0.168614,1024
LockCounter,3,3000000,0.148249,0
ApproximateCounter,3,3000000,0.175446,1024
LockCounter,4,4000000,0.242904,0
ApproximateCounter,4,4000000,0.225808,1024
LockCounter,5,5000000,0.326013,0
ApproximateCounter,5,5000000,0.267024,1024
LockCounter,6,6000000,0.434048,0
ApproximateCounter,6,6000000,0.316963,1024
LockCounter,7,7000000,0.57778,0
ApproximateCounter,7,7000000,0.330058,1024
LockCounter,8,8000000,0.710186,0
ApproximateCounter,8,8000000,0.343979,1024
LockCounter,9,9000000,0.819362,0
ApproximateCounter,9,9000000,0.376411,1024
LockCounter,10,10000000,0.913802,0
ApproximateCounter,10,10000000,0.396115,1024
LockCounter,11,11000000,1.00074,0
ApproximateCounter,11,11000000,0.410772,1024
LockCounter,12,12000000,1.09181,0
ApproximateCounter,12,12000000,0.424608,1024
LockCounter,13,13000000,1.17819,0
ApproximateCounter,13,13000000,0.415783,1024
LockCounter,14,14000000,1.26389,0
ApproximateCounter,14,14000000,0.466909,1024
LockCounter,15,15000000,1.35285,0
ApproximateCounter,15,15000000,0.477364,1024
LockCounter,16,16000000,1.44405,0
ApproximateCounter,16,16000000,0.496632,1024
LockCounter,17,17000000,1.53281,0
ApproximateCounter,17,17000000,0.517438,1024
LockCounter,18,18000000,1.62044,0
ApproximateCounter,18,18000000,0.494084,1024
LockCounter,19,19000000,1.70185,0
ApproximateCounter,19,19000000,0.522739,1024
LockCounter,20,20000000,1.78938,0
ApproximateCounter,20,20000000,0.543318,1024
LockCounter,21,21000000,1.87479,0
ApproximateCounter,21,21000000,0.523148,1024
LockCounter,22,22000000,1.96727,0
ApproximateCounter,22,22000000,0.570931,1024
LockCounter,23,23000000,2.04785,0
ApproximateCounter,23,23000000,0.603818,1024
LockCounter,24,24000000,2.14575,0
ApproximateCounter,24,24000000,0.584061,1024
LockCounter,25,25000000,2.22301,0
ApproximateCounter,25,25000000,0.617727,1024
LockCounter,26,26000000,2.30953,0
ApproximateCounter,26,26000000,0.585399,1024
LockCounter,27,27000000,2.40513,0
ApproximateCounter,27,27000000,0.651728,1024
LockCounter,28,28000000,2.49194,0
ApproximateCounter,28,28000000,0.603952,1024
LockCounter,29,29000000,2.5899,0
ApproximateCounter,29,29000000,0.647634,1024
LockCounter,30,30000000,2.67603,0
ApproximateCounter,30,30000000,0.633777,1024
LockCounter,31,31000000,2.76172,0
ApproximateCounter,31,31000000,0.670526,1024
LockCounter,32,32000000,2.8588,0
ApproximateCounter,32,32000000,0.659824,1024
LockCounter,33,33000000,2.94104,0
ApproximateCounter,33,33000000,0.702918,1024
LockCounter,34,34000000,3.02917,0
ApproximateCounter,34,34000000,0.708859,1024
LockCounter,35,35000000,3.12393,0
ApproximateCounter,35,35000000,0.714713,1024
LockCounter,36,36000000,3.21275,0
ApproximateCounter,36,36000000,0.717626,1024
LockCounter,37,37000000,3.30083,0
ApproximateCounter,37,37000000,0.705409,1024
LockCounter,38,38000000,3.38725,0
ApproximateCounter,38,38000000,0.744908,1024
LockCounter,39,39000000,3.48522,0
ApproximateCounter,39,39000000,0.769499,1024
LockCounter,40,40000000,3.56617,0
ApproximateCounter,40,40000000,0.744352,1024
LockCounter,41,41000000,3.66284,0
ApproximateCounter,41,41000000,0.778784,1024
LockCounter,42,42000000,3.7511,0
ApproximateCounter,42,42000000,0.768961,1024
LockCounter,43,43000000,3.83619,0
ApproximateCounter,43,43000000,0.764371,1024
LockCounter,44,44000000,3.9245,0
ApproximateCounter,44,44000000,0.798037,1024
LockCounter,45,45000000,4.02043,0
ApproximateCounter,45,45000000,0.810566,1024
LockCounter,46,46000000,4.10681,0
ApproximateCounter,46,46000000,0.786426,1024
LockCounter,47,47000000,4.21881,0
ApproximateCounter,47,47000000,0.817862,1024
LockCounter,48,48000000,4.31688,0
ApproximateCounter,48,48000000,0.880812,1024
LockCounter,1,1000000,0.0207641,0
ApproximateCounter,1,1000000,0.023006,1024
LockCounter,2,2000000,0.0856159,0
ApproximateCounter,2,2000000,0.170162,1024
LockCounter,3,3000000,0.13495,0
ApproximateCounter,3,3000000,0.191177,1024
LockCounter,4,4000000,0.226488,0
ApproximateCounter,4,4000000,0.218056,1024
LockCounter,5,5000000,0.332618,0
ApproximateCounter,5,5000000,0.284907,1024
LockCounter,6,6000000,0.496843,0
ApproximateCounter,6,6000000,0.337786,1024
LockCounter,7,7000000,0.576402,0
ApproximateCounter,7,7000000,0.331246,1024
LockCounter,8,8000000,0.724493,0
ApproximateCounter,8,8000000,0.329127,1024
LockCounter,9,9000000,0.852886,0
ApproximateCounter,9,9000000,0.372505,1024
LockCounter,10,10000000,0.933527,0
ApproximateCounter,10,10000000,0.34089,1024
LockCounter,11,11000000,1.01994,0
ApproximateCounter,11,11000000,0.401359,1024
LockCounter,12,12000000,1.09758,0
ApproximateCounter,12,12000000,0.433592,1024
LockCounter,13,13000000,1.17555,0
ApproximateCounter,13,13000000,0.432831,1024
LockCounter,14,14000000,1.2657,0
ApproximateCounter,14,14000000,0.442816,1024
LockCounter,15,15000000,1.37984,0
ApproximateCounter,15,15000000,0.476205,1024
LockCounter,16,16000000,1.47663,0
ApproximateCounter,16,16000000,0.532864,1024
LockCounter,17,17000000,1.55352,0
ApproximateCounter,17,17000000,0.486263,1024
